"Date","Open","High","Low","Close","Volume"
"2012-02-08","2.1067","2.1340","2.0860","2.1287","9354385"
"2012-02-09","2.1333","2.1933","2.0953","2.1720","19154150"
"2012-02-10","2.1507","2.1513","1.9893","2.0733","28112071"
"2012-02-13","2.1033","2.1373","2.0600","2.0993","17367861"
"2012-02-14","2.1160","2.2527","2.0933","2.2113","27159121"
"2012-02-15","2.2067","2.2940","2.1513","2.2400","41355909"
"2012-02-16","2.2333","2.3007","2.1693","2.2787","33294523"
"2012-02-17","2.2660","2.3313","2.2333","2.3313","20649665"
"2012-02-21","2.3247","2.3247","2.2540","2.3000","17036811"
"2012-02-22","2.3000","2.3147","2.1667","2.2813","24818538"
